,k,P
1644,0.006157712399573,6230.52306835
1645,0.00616411292195,6234.555197731
1646,0.006170513893737,6238.58358004
1647,0.006176915314069,6242.608216373
1648,0.006183317182083,6246.629108135
1649,0.006189719496923,6250.646256737
1650,0.006196122257734,6254.659663773
1651,0.006202525463667,6258.66932842
1652,0.006208929113874,6262.675255591
1653,0.006215333207514,6266.67744519
1654,0.006221737743748,6270.67589864
1655,0.00622814272174,6274.670617367
1656,0.006234548140659,6278.661602974
1657,0.006240953999678,6282.648855473
1658,0.006247360297972,6286.632378383
1659,0.006253767034721,6290.612172271
1660,0.006260174209107,6294.588238585
1661,0.006266581820319,6298.560578782
1662,0.006272989867547,6302.529193166
1663,0.006279398349984,6306.494085168
1664,0.006285807266828,6310.455255456
1665,0.006292216617281,6314.412704733
1666,0.006298626400547,6318.366435538
1667,0.006305036615835,6322.316448887
1668,0.006311447262356,6326.262746247
1669,0.006317858339326,6330.205329101
1670,0.006324269845964,6334.144198941
1671,0.006330681781491,6338.079355429
1672,0.006337094145134,6342.010803193
1673,0.006343506936122,6345.938542293
1674,0.006349920153687,6349.86257421
1675,0.006356333797065,6353.782900431
1676,0.006362747865497,6357.699522458
1677,0.006369162358224,6361.612440851
1678,0.006375577274493,6365.521658721
1679,0.006381992613554,6369.427176841
1680,0.006388408374659,6373.328996715
1681,0.006394824557064,6377.227119856
1682,0.00640124116003,6381.12154663
1683,0.006407658182818,6385.012280542
1684,0.006414075624696,6388.899322195
1685,0.006420493484931,6392.782672675
1686,0.006426911762798,6396.662334244
1687,0.006433330457572,6400.538308084
1688,0.006439749568532,6404.410595717
1689,0.00644616909496,6408.279198679
1690,0.006452589036142,6412.144118516
1691,0.006459009391367,6416.005355015
1692,0.006465430159926,6419.862912744
1693,0.006471851341115,6423.716791856
1694,0.006478272934232,6427.566993883
1695,0.006484694938578,6431.413520366
1696,0.006491117353457,6435.256372854
1697,0.006497540178178,6439.095552026
1698,0.00650396341205,6442.931060932
1699,0.006510387054389,6446.762900436
1700,0.006516811104509,6450.59107209
1701,0.006523235561733,6454.415577448
1702,0.006529660425381,6458.236418083
1703,0.006536085694781,6462.053594234
1704,0.006542511369261,6465.867109761
1705,0.006548937448153,6469.676965288
1706,0.006555363930793,6473.483161565
1707,0.006561790816518,6477.285701328
1708,0.006568218104669,6481.084585652
1709,0.00657464579459,6484.879816112
1710,0.006581073885629,6488.671394288
1711,0.006587502377134,6492.459321773
1712,0.006593931268458,6496.243598228
